RAL,pl,en,de,nl,fr,it,es,lt
RAL 6027,Jasnozielony,Light green,Lichtgrün,Lichtgroen,Vert clair,Verde chiaro,Verde luminoso,Šviesiai žalia
RAL 6028,Zielony sosnowy,Pine green,Kieferngrün,Pijnboomgroen,Vert pin,Verde pino,Verde pino,Pušies žalia
RAL 6029,Zielony miętowy,Mint green,Minzgrün,Mintgroen,Vert menthe,Verde menta,Verde menta,Mėtinė žalia
RAL 6032,Zielony sygnałowy,Signal green,Signalgrün,Signaalgroen,Vert de sécurité,Verde segnale,Verde señales,Signalinė žalia
RAL 6033,Turkus miętowy,Mint turquoise,Minttürkis,Mintturquoise,Turquoise menthe,Turchese menta,Turquesa menta,Turkio mėtinė žalia
RAL 6034,Turkus pastelowy,Pastel turquoise,Pastelltürkis,Pastelturquoise,Turquoise pastel,Turchese pastello,Turquesa pastel,Pastelinė turkio žalia
RAL 6035,Zielony Perłowy,Pearl green,Perlgrün,Parelmoer donkergroen,Vert nacré,Verde perlato,Verde perlado,Perlo žalia
RAL 6036,Perłowy opal zielony,Pearl opal green,Perlopalgrün,Parelmoer lichtgroen,Vert opal nacré,Verde opalo perlato,Verde ópalo perlado,Perlo opalo žalia
RAL 6037,Zielony zzysty,Pure green,Reingrün,Zuiver groen,Vert pur,Verde puro,Verde puro,Grynai žalia
RAL 6038,Świetlisty zielony,Luminous green,Leuchtgrün,Briljantgroen,Vert brillant,Verde brillante,Verde brillante,Ryškiai žalia
RAL 7000,Wiewiórka szara,Squirrel grey,Fehgrau,Pelsgrijs,Gris petit-gris,Grigio vaio,Gris ardilla,Voverės pilka
RAL 7001,Srebrno szary,Silver grey,Silbergrau,Zilvergrijs,Gris argent,Grigio argento,Gris plata,Sidabrinė pilka
RAL 7002,Szary oliwkowy,Olive grey,Olivgrau,Olijfgrijs,Gris olive,Grigio olivastro,Gris oliva,Alyvuogių pilka
RAL 7003,Szary mech,Moss grey,Moosgrau,Mosgrijs,Gris mousse,Grigio muschio,Gris musgo,Samanų pilka
RAL 7004,Szary sygnałowy,Signal grey,Signalgrau,Signaalgrijs,Gris de sécurité,Grigio segnale,Gris señales,Signalinė pilka
RAL 7005,Szary mysi,Mouse grey,Mausgrau,Muisgrijs,Gris souris,Grigio topo,Gris ratón,Pelės pilka
RAL 7006,Szary beżowy,Beige grey,Beigegrau,Beigegrijs,Gris beige,Grigio beige,Gris beige,Smėlio pilka
RAL 7008,Szary khaki,Khaki grey,Khakigrau,Kakigrijs,Gris kaki,Grigio kaki,Gris caqui,Chaki pilka
RAL 7009,Szary zielony,Green grey,Grüngrau,Groengrijs,Gris vert,Grigio verdastro,Gris verdoso,Žaliai pilka
RAL 7010,Plandeka szara,Tarpaulin grey,Zeltgrau,Zeildoekgrijs,Gris tente,Grigio tenda,Gris lona,Tarpaulino pilka
RAL 7011,Szary żelazny,Iron grey,Eisengrau,IJzergrijs,Gris fer,Grigio ferro,Gris hierro,Geležies pilka
RAL 7012,Szary bazaltowy,Basalt grey,Basaltgrau,Bazaltgrijs,Gris basalte,Grigio basalto,Gris basalto,Bazalto uolienos pilka
RAL 7013,Brązowo szary,Brown grey,Braungrau,Bruingrijs,Gris brun,Grigio brunastro,Gris parduzco,Rudai pilka
RAL 7015,Łupkowy szary,Slate grey,Schiefergrau,Leigrijs,Gris ardoise,Grigio ardesia,Gris pizarra,Skalūno pilka
RAL 7016,Szary antracytowy,Anthracite grey,Anthrazitgrau,Antracietgrijs,Gris anthracite,Grigio antracite,Gris antracita,Antracito pilka
RAL 7021,Czarny szary,Black grey,Schwarzgrau,Zwartgrijs,Gris noir,Grigio nerastro,Gris negruzco,Juodai pilka
RAL 7022,Szary umbra,Umbra grey,Umbragrau,Ombergrijs,Gris terre d’ombre,Grigio ombra,Gris sombra,Umbros pilka
RAL 7023,Szary betonowy,Concrete grey,Betongrau,Betongrijs,Gris béton,Grigio calcestruzzo,Gris hormigón,Betono pilka
RAL 7024,Szary grafitowy,Graphite grey,Graphitgrau,Grafietgrijs,Gris graphite,Grigio grafite,Gris grafita,Grafito pilka
RAL 7026,Szary granitowy,Granite grey,Granitgrau,Granietgrijs,Gris granit,Grigio granito,Gris granito,Granito pilka
RAL 7030,Szary kamienny,Stone grey,Steingrau,Steengrijs,Gris pierre,Grigio pietra,Gris piedra,Akmens pilka
RAL 7031,Niebiesko-Szary,Blue grey,Blaugrau,Blauwgrijs,Gris bleu,Grigio bluastro,Gris azulado,Mėlynai pilka
RAL 7032,Żwirowo-szary,Pebble grey,Kieselgrau,Kiezelgrijs,Gris silex,Grigio ghiaia,Gris guijarro,Skaldos pilka
RAL 7033,Szary cement,Cement grey,Zementgrau,Cementgrijs,Gris ciment,Grigio cemento,Gris cemento,Cemento pilka
RAL 7034,Szaro-żółty,Yellow grey,Gelbgrau,Geelgrijs,Gris jaune,Grigio giallastro,Gris amarillento,Geltonai pilka
RAL 7035,Jasnoszary,Light grey,Lichtgrau,Lichtgrijs,Gris clair,Grigio luce,Gris luminoso,Šviesiai pilka
RAL 7036,Szary platynowy,Platinum grey,Platingrau,Platinagrijs,Gris platine,Grigio platino,Gris platino,Platinos pilka
RAL 7037,Zakurzony szary,Dusty grey,Staubgrau,Stofgrijs,Gris poussière,Grigio polvere,Gris polvo,Dulkėta pilka
RAL 7038,Szary agatowy,Agate grey,Achatgrau,Agaatgrijs,Gris agate,Grigio agata,Gris ágata,Agato pilka
RAL 7039,Szary kwarcowy,Quartz grey,Quarzgrau,Kwartsgrijs,Gris quartz,Grigio quarzo,Gris cuarzo,Kvarco pilka
RAL 7040,Szary okienny,Window grey,Fenstergrau,Venstergrijs,Gris fenêtre,Grigio finestra,Gris ventana,Lango pilka
RAL 7042,Szary drogowy A,Traffic grey A,Verkehrsgrau A,Verkeersgrijs A,Gris signalisation A,Grigio traffico A,Gris tráfico A,Kelininkų pilka A
RAL 7043,Szary drogowy B,Traffic grey B,Verkehrsgrau B,Verkeersgrijs B,Gris signalisation B,Grigio traffico B,Gris tráfico B,Kelininkų pilka B
RAL 7044,Szary jedwabisty,Silk grey,Seidengrau,Zijdegrijs,Gris soie,Grigio seta,Gris seda,Šilko pilka
RAL 7045,Telegrey 1,Telegrey 1,Telegrau 1,Telegrijs 1,Telegris 1,Grigio tele 1,Gris tele 1,
RAL 7046,Telegrey 2,Telegrey 2,Telegrau 2,Telegrijs 2,Telegris 2,Grigio tele 2,Gris tele 2,
RAL 7047,Telegrey 4,Telegrey 4,Telegrau 4,Telegrijs 4,Telegris 4,Grigio tele 4,Gris tele 4,
RAL 7048,Perłowa szara mysz,Pearl mouse grey,Perlmausgrau,Parelmoer muisgrijs,Gris souris nacré,Grigio topo perlato,Gris musgo perlado,Perlo pelės pilka
RAL 8000,Zielono-brązowy,Green brown,Grünbraun,Groenbruin,Brun vert,Marrone verdastro,Pardo verdoso,Žaliai ruda
RAL 8001,Ochra brązowy,Ochre brown,Ockerbraun,Okerbruin,Brun terre de Sienne,Marrone ocra,Pardo ocre,ochros ruda
